totexp,food,hhincomepc
5360.556152,1253.722656,13540
3485.27832,2017.27832,7706.25
1518.334106,905.3340454,3328
3135.774658,1070.108032,5843.75
4402.320801,1747.653931,4338.181818
5010.009766,1670.92627,3898
4048.249512,1575.249512,3292.5
2191.177002,1194.09375,12055
18311.80859,1664.558716,5779.142857
3188.166748,1406.25,11940.5
2918.583252,1583.833374,6128.571429
3529.75,1502.333374,6702
4274.416504,2301.75,7895.555556
4983.666504,1511.916626,781.25
4257.166504,2083.25,5025.538462
4396.75,1621.75,8302.437867
3202.333252,1455.333374,17512
6596.333496,2744.666748,4495.111111
4410.416504,791.916687,12858.8
4177.5,2574.416748,10661.25
5069.25,1895.833374,7205.166667
4023.416748,2117.416748,7436.666667
1950.583374,658.916687,8066.5
9797.416992,3370.333252,6385.5
2873.291748,917.708313,4320
45304.35156,2894.351563,15000
21047.41602,4269.833008,21078.57143
5130.5,1972.833374,2066.666667
2640.916748,1179.25,3303.333333
