"wage","age","educ","exper","union","female","married","urban"
3.40116286277771,34,3,24,0,0,0,0
3.25,40,5,28,0,0,1,0
3.56707310676575,36,5,24,0,0,0,0
3.65625,50,4,39,0,0,1,0
2.77777767181396,27,7,13,1,0,1,0
3.25,35,6,22,0,0,0,0
3.77906966209412,33,5,21,0,0,1,0
2.82608699798584,36,5,24,1,0,1,0
4.125,45,3,35,0,0,1,0
5.5,42,3,32,0,1,1,0
2.77777767181396,30,7,16,0,0,0,0
3.92857146263123,37,2,28,0,0,0,0
3.52906966209412,35,3,25,0,0,1,0
3,38,6,25,1,0,0,0
3.48214292526245,48,5,36,0,0,0,0
4.0625,40,3,30,0,0,1,0
5.5,36,1,28,0,1,1,0
2.77777767181396,22,8,7,1,0,0,0
6.44642877578735,50,2,41,1,0,0,0
3.125,30,7,16,1,0,1,0
3.86904764175415,30,2,21,1,0,0,0
6.01666688919067,44,3,34,1,0,1,0
4.73958349227905,25,4,14,0,1,1,0
4.64285707473755,47,4,36,1,0,1,0
4.515625,49,6,36,1,0,1,0
4.33333349227905,60,4,49,0,0,1,0
3.37222218513489,23,7,9,0,1,0,0
3.6130952835083,52,0,45,0,1,0,0
3.6130952835083,54,0,47,0,1,0,0
4.0625,58,3,48,0,0,1,0
3.37222218513489,37,1,29,0,1,0,0
3.37222218513489,30,4,19,0,1,0,0
3.37222218513489,40,0,33,0,1,0,0
3.37222218513489,27,3,17,0,1,0,0
3.37222218513489,29,5,17,0,1,0,0
3.37222218513489,40,9,24,0,1,0,0
3.37222218513489,24,6,11,0,1,0,0
5.41666650772095,39,2,30,0,0,1,0
3.25,36,0,29,0,1,1,0
7.3125,33,6,20,1,0,0,0
5.95625019073486,32,7,18,1,1,0,0
7.3125,40,1,32,1,0,1,0
5.078125,20,6,7,0,0,0,0
4.875,49,6,36,1,0,1,0
5.95625019073486,50,4,39,0,0,1,0
2.20000004768372,24,6,11,1,1,0,0
2.03333330154419,20,6,7,1,1,0,0
3.61111116409302,24,7,10,0,0,0,0
4.18333339691162,21,6,8,0,0,0,0
3.79375004768372,19,7,5,0,1,0,0
4.84999990463257,20,5,8,0,0,0,0
7.22395849227905,25,7,11,0,0,0,0
4.96354150772095,48,3,38,1,0,1,0
6.26111125946045,39,7,25,1,0,1,0
3.61111116409302,50,0,43,0,0,1,0
4.17708349227905,33,4,22,0,0,0,0
4.46875,28,1,20,1,1,0,0
5.55000019073486,42,5,30,0,0,0,0
4.45555543899536,23,7,9,1,0,0,0
5.53125,28,6,15,1,0,0,0
5.01249980926514,22,5,10,1,1,0,0
5,42,7,28,1,0,1,0
7.71875,30,6,17,1,0,0,0
5.05555534362793,25,8,10,1,0,0,0
6.01249980926514,35,6,22,0,0,0,0
12.1875,28,6,15,0,0,0,0
12.1875,25,8,10,0,0,0,0
11.5124998092651,25,5,13,0,0,0,0
4.0625,23,7,9,0,0,0,0
4.0625,22,8,7,0,0,0,0
4.55000019073486,38,6,25,0,0,0,0
3.94791674613953,50,6,37,1,0,1,0
3.25,30,7,16,0,1,0,0
5.13888883590698,58,3,48,0,0,1,0
3.25,32,5,20,1,0,0,0
3.25,30,5,18,0,0,0,0
3.25,27,6,14,0,0,0,0
10.1666669845581,25,4,14,1,0,0,0
4.17708349227905,37,5,25,1,0,0,0
2.36979174613953,40,4,29,0,0,0,0
4.28181838989258,45,3,35,0,0,1,0
4.17708349227905,23,5,11,0,0,0,0
3.37222218513489,21,6,8,1,0,1,0
3.97222232818604,25,7,11,0,0,1,0
4.73958349227905,26,6,13,0,0,0,0
4.45555543899536,22,6,9,1,0,0,0
6.20833349227905,26,7,12,1,0,1,0
5.01249980926514,25,6,12,0,1,1,0
